dataset,model,status,native_or_fallback,query_id,spectrum_id,true_candidate_id,adduct,candidate_count,observed_rows,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,0,0,CASMI_MOL_1196787,[M+H]+,1241,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,3,3,CASMI_MOL_1196790,[M+H]+,8524,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,4,4,CASMI_MOL_1196791,[M+H]+,7594,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,5,5,CASMI_MOL_1196792,[M+H]+,1074,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,6,6,CASMI_MOL_1196793,[M+H]+,1524,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,7,7,CASMI_MOL_1196794,[M+H]+,7016,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,9,9,CASMI_MOL_1196796,[M+H]+,8632,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,10,10,CASMI_MOL_1196797,[M+H]+,2797,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,11,11,CASMI_MOL_1196798,[M+H]+,6368,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,12,12,CASMI_MOL_1196799,[M+H]+,9462,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,15,15,CASMI_MOL_1196802,[M+H]+,4775,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,16,16,CASMI_MOL_1196803,[M+H]+,103,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,17,17,CASMI_MOL_1196804,[M+H]+,9564,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,18,18,CASMI_MOL_1196806,[M+H]+,6548,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,21,21,CASMI_MOL_1196809,[M+H]+,5615,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,22,22,CASMI_MOL_1196810,[M+H]+,6294,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,23,23,CASMI_MOL_1196811,[M+H]+,5745,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,24,24,CASMI_MOL_1196813,[M+H]+,5015,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,25,25,CASMI_MOL_1196814,[M+H]+,9778,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,26,26,CASMI_MOL_1196815,[M+H]+,8521,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,27,27,CASMI_MOL_1196816,[M+H]+,3327,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,29,29,CASMI_MOL_1196818,[M+H]+,8062,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,31,31,CASMI_MOL_1196820,[M+H]+,9668,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,34,34,CASMI_MOL_1196823,[M+H]+,457,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,35,35,CASMI_MOL_1196824,[M+H]+,233,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,37,37,CASMI_MOL_1196826,[M+H]+,8957,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,38,38,CASMI_MOL_1196827,[M+H]+,9532,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,39,39,CASMI_MOL_1196829,[M+H]+,859,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,40,40,CASMI_MOL_1196830,[M+H]+,7695,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,41,41,CASMI_MOL_1196831,[M+H]+,5158,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,42,42,CASMI_MOL_1196832,[M+H]+,9484,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,43,43,CASMI_MOL_1196833,[M+H]+,8937,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,46,46,CASMI_MOL_1196837,[M+H]+,960,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,48,48,CASMI_MOL_1196839,[M+H]+,9066,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,50,50,CASMI_MOL_1196841,[M+H]+,1506,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,51,51,CASMI_MOL_1196842,[M+H]+,558,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,53,53,CASMI_MOL_1196844,[M+H]+,1206,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,54,54,CASMI_MOL_1196845,[M+H]+,6814,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,55,55,CASMI_MOL_1196846,[M+H]+,9288,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,56,56,CASMI_MOL_1196828,[M+H]+,9532,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,58,58,CASMI_MOL_1196849,[M+H]+,2999,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,59,59,CASMI_MOL_1196850,[M+H]+,9219,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,60,60,CASMI_MOL_1196851,[M+H]+,7090,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,61,61,CASMI_MOL_1196853,[M+H]+,8027,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,64,64,CASMI_MOL_1196856,[M+H]+,817,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,65,65,CASMI_MOL_1196857,[M+H]+,9590,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,68,68,CASMI_MOL_1196860,[M+H]+,1511,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,69,69,CASMI_MOL_1196861,[M+H]+,9556,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,70,70,CASMI_MOL_1196862,[M+H]+,8926,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,71,71,CASMI_MOL_1196863,[M+H]+,9485,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,74,74,CASMI_MOL_1196866,[M+H]+,7251,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,75,75,CASMI_MOL_1196867,[M+H]+,4498,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,76,76,CASMI_MOL_1196812,[M+H]+,5745,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,77,77,CASMI_MOL_1196868,[M+H]+,8719,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,78,78,CASMI_MOL_1196869,[M+H]+,787,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,79,79,CASMI_MOL_1196870,[M+H]+,7821,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,80,80,CASMI_MOL_1196871,[M+H]+,7809,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,82,82,CASMI_MOL_1196873,[M+H]+,5788,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,83,83,CASMI_MOL_1196874,[M+H]+,9564,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,84,84,CASMI_MOL_1196852,[M+H]+,7090,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,87,87,CASMI_MOL_1196876,[M+H]+,2560,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,88,88,CASMI_MOL_1196877,[M+H]+,6054,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,89,89,CASMI_MOL_1196805,[M+H]+,9564,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,90,90,CASMI_MOL_1196878,[M+H]+,1959,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,93,93,CASMI_MOL_1196881,[M+H]+,9460,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,94,94,CASMI_MOL_1196882,[M+H]+,347,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,95,95,CASMI_MOL_1196883,[M+H]+,1877,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,96,96,CASMI_MOL_1196884,[M+H]+,6683,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,98,98,CASMI_MOL_1196886,[M+H]+,9270,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,99,99,CASMI_MOL_1196887,[M+H]+,6863,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,100,100,CASMI_MOL_1196888,[M+H]+,6530,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,101,101,CASMI_MOL_1196890,[M+H]+,7839,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,102,102,CASMI_MOL_1196891,[M+H]+,4859,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,104,104,CASMI_MOL_1196893,[M+H]+,8559,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,105,105,CASMI_MOL_1196894,[M+H]+,9237,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,106,106,CASMI_MOL_1196895,[M+H]+,9491,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,107,107,CASMI_MOL_1196896,[M+H]+,8301,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,108,108,CASMI_MOL_1196899,[M+H]+,9739,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,109,109,CASMI_MOL_1196900,[M+H]+,4864,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,111,111,CASMI_MOL_1196902,[M+H]+,2744,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,112,112,CASMI_MOL_1196903,[M+H]+,9092,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,113,113,CASMI_MOL_1196905,[M+H]+,7164,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,114,114,CASMI_MOL_1196906,[M+H]+,689,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,115,115,CASMI_MOL_1196907,[M+H]+,1876,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,116,116,CASMI_MOL_1196909,[M+H]+,9725,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,119,119,CASMI_MOL_1196912,[M+H]+,9424,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,120,120,CASMI_MOL_1196913,[M+H]+,9633,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,121,121,CASMI_MOL_1196918,[M+H]+,9371,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,122,122,CASMI_MOL_1196919,[M+H]+,3108,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,123,123,CASMI_MOL_1196920,[M+H]+,2103,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,126,126,CASMI_MOL_1196923,[M+H]+,9036,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,127,127,CASMI_MOL_1196924,[M+H]+,1657,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,128,128,CASMI_MOL_1196925,[M+H]+,9700,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,129,129,CASMI_MOL_1196897,[M+H]+,8301,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,130,130,CASMI_MOL_1196926,[M+H]+,9113,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,131,131,CASMI_MOL_1196928,[M+H]+,9650,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,132,132,CASMI_MOL_1196929,[M+H]+,9018,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,135,135,CASMI_MOL_1196933,[M+H]+,6577,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,136,136,CASMI_MOL_1196934,[M+H]+,9626,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,137,137,CASMI_MOL_1196935,[M+H]+,8774,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,138,138,CASMI_MOL_1196936,[M+H]+,8939,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,139,139,CASMI_MOL_1196937,[M+H]+,631,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,140,140,CASMI_MOL_1196939,[M+H]+,9134,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,142,142,CASMI_MOL_1196942,[M+H]+,9236,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,143,143,CASMI_MOL_1196943,[M+H]+,8691,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,144,144,CASMI_MOL_1196944,[M+H]+,9540,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,145,145,CASMI_MOL_1196938,[M+H]+,316,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,146,146,CASMI_MOL_1196945,[M+H]+,1277,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,147,147,CASMI_MOL_1196946,[M+H]+,4034,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,149,149,CASMI_MOL_1196948,[M+H]+,9235,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,150,150,CASMI_MOL_1196949,[M+H]+,7703,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,151,151,CASMI_MOL_1196950,[M+H]+,1793,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,155,155,CASMI_MOL_1196954,[M+H]+,9273,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,156,156,CASMI_MOL_1196955,[M+H]+,8995,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,157,157,CASMI_MOL_1196956,[M+H]+,6956,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,158,158,CASMI_MOL_1196958,[M+H]+,3729,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,159,159,CASMI_MOL_1196914,[M+H]+,9633,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,163,163,CASMI_MOL_1196962,[M+H]+,361,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,164,164,CASMI_MOL_1196963,[M+H]+,9014,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,165,165,CASMI_MOL_1196937,[M+H]+,631,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,166,166,CASMI_MOL_1196964,[M+H]+,6879,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,169,169,CASMI_MOL_1196967,[M+H]+,4670,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,170,170,CASMI_MOL_1196898,[M+H]+,8301,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,171,171,CASMI_MOL_1196968,[M+H]+,1728,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,172,172,CASMI_MOL_1196879,[M+H]+,1959,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,173,173,CASMI_MOL_1196969,[M+H]+,8918,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,176,176,CASMI_MOL_1196972,[M+H]+,2390,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,177,177,CASMI_MOL_1196973,[M+H]+,336,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,178,178,CASMI_MOL_1196974,[M+H]+,2608,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,179,179,CASMI_MOL_1196975,[M+H]+,8960,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,180,180,CASMI_MOL_1196976,[M+H]+,6387,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,181,181,CASMI_MOL_1196915,[M+H]+,9633,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,185,185,CASMI_MOL_1196979,[M+H]+,6320,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,186,186,CASMI_MOL_1196980,[M+H]+,9661,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,187,187,CASMI_MOL_1196981,[M+H]+,8418,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,188,188,CASMI_MOL_1196982,[M+H]+,6643,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,189,189,CASMI_MOL_1196983,[M+H]+,3839,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,190,190,CASMI_MOL_1196940,[M+H]+,9134,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,191,191,CASMI_MOL_1196908,[M+H]+,1876,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,192,192,CASMI_MOL_1196984,[M+H]+,735,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,193,193,CASMI_MOL_1196985,[M+H]+,7937,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,194,194,CASMI_MOL_1196986,[M+H]+,9378,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,195,195,CASMI_MOL_1196987,[M+H]+,1274,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,196,196,CASMI_MOL_1196988,[M+H]+,4522,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,199,199,CASMI_MOL_1196991,[M+H]+,4447,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,200,200,CASMI_MOL_1196992,[M+H]+,510,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,201,201,CASMI_MOL_1196993,[M+H]+,7033,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,205,205,CASMI_MOL_1196996,[M+H]+,9363,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,206,206,CASMI_MOL_1196927,[M+H]+,9113,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,207,207,CASMI_MOL_1196997,[M+H]+,5971,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,208,208,CASMI_MOL_1196916,[M+H]+,9633,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,209,209,CASMI_MOL_1196904,[M+H]+,9092,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,210,210,CASMI_MOL_1196998,[M+H]+,6490,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,211,211,CASMI_MOL_1196999,[M+H]+,9668,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,212,212,CASMI_MOL_1197000,[M+H]+,9580,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,213,213,CASMI_MOL_1197001,[M+H]+,9069,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,214,214,CASMI_MOL_1197002,[M+H]+,1846,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,215,215,CASMI_MOL_1197003,[M+H]+,9453,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,216,216,CASMI_MOL_1197004,[M+H]+,5420,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,218,218,CASMI_MOL_1197006,[M+H]+,7363,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,219,219,CASMI_MOL_1197007,[M+H]+,3155,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,220,220,CASMI_MOL_1196917,[M+H]+,9633,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,221,221,CASMI_MOL_1197008,[M+H]+,9150,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,222,222,CASMI_MOL_1197009,[M+H]+,9240,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,223,223,CASMI_MOL_1197010,[M+H]+,9012,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,224,224,CASMI_MOL_1197011,[M+H]+,2730,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,225,225,CASMI_MOL_1197012,[M+H]+,6158,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,226,226,CASMI_MOL_1197013,[M+H]+,9691,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,227,227,CASMI_MOL_1197014,[M+H]+,1329,0,,False,False,False,0.0
CASMI2022,CFM-ID,partial_or_missing,native_cfmid_full_supported_queries,228,228,CASMI_MOL_1196957,[M+H]+,6956,0,,False,False,False,0.0
